ref,name,lat,long,local_ref,network,operator,shelter,bench,tactile_paving,wheelchair,departure_board,lit,bin,covered,passenger_information_display,pole,flag,kerb,traffic_sign,advertising,layer,street,crossing
503418172,Ashley Manor,50.9118747,-1.2004217,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,A334
503418173,Ashley Manor,50.9121977,-1.2003024,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,A334
503418174,Church Road,50.9160367,-1.2001655,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Church Road
503418175,Church Road,50.9168473,-1.2003508,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Upper Church Road
503418178,The Black Dog Ph,50.9262329,-1.2012428,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,
503418181,The Black Dog Ph,50.9268169,-1.2011759,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,
503418184,Chase Farm Close,50.9317271,-1.2011914,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Bull Lane
503418185,Chase Farm Close,50.9324364,-1.2010227,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Chase Farm Close
503418186,Curdridge Lane,50.9349357,-1.2009229,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Forest Road
503418187,Curdridge Lane,50.9362850,-1.2009852,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,Curdridge Lane
503418193,Forest Farm,50.9428269,-1.2029085,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,
503418196,Forest Farm,50.9434131,-1.2031547,,,,,,,,,,,,,,,,,,,B2177 Winchester Road,
503418200,Coppice Hill,50.9499189,-1.2077129,,,,,,,,,,,,,,,,,,,B2177 Coppice Hill,
503418203,Coppice Hill,50.9500173,-1.2076401,,,,,,,,,,,,,,,,,,,B2177 Coppice Hill,Shore Lane
503418207,Bishop's Waltham Square,50.9535469,-1.2136166,,,,yes,,,,,,,,,,,,,,,St Georges's Square,High Street
503418210,Langton Road,50.9555355,-1.2164734,,,,,,,,,,,,,,,,,,,B3035 Lower Lane,Langton Road
503418214,Langton Road,50.9556171,-1.2165717,,,,,,,,,,,,,,,,,,,B3035 Lower Lane,Langton Road
503418218,Lower Lane,50.9567987,-1.2117535,,,,,,,,,,,,,,,,,,,Lower Lane,Middlebrook
503418222,Lower Lane,50.9566453,-1.2116707,,,,,,,,,,,,,,,,,,,Lower Lane,Middlebrook
503418228,Council Offices,50.9567283,-1.2079958,,,,,,,,,,,,,,,,,,,Free Street,Colville Drive
503418229,Council Offices,50.9565870,-1.2083684,,,,,,,,,,,,,,,,,,,Free Street,Colville Drive
503418230,Free Street Library,50.9546811,-1.2084577,,,Stage Coach,,,,,,,,,,,,,,,,Free Street,Bank Street
